,episode,score
0,0,Purple Team Scored!
1,1,Blue Team Scored!
2,2,Blue Team Scored!
3,3,Blue Team Scored!
4,4,Blue Team Scored!
5,5,Blue Team Scored!
6,6,Blue Team Scored!
7,7,Blue Team Scored!
8,8,Purple Team Scored!
9,9,Purple Team Scored!
10,10,Blue Team Scored!
11,11,Purple Team Scored!
12,12,Purple Team Scored!
13,13,Blue Team Scored!
14,14,Blue Team Scored!
15,15,Blue Team Scored!
16,16,Blue Team Scored!
17,17,Blue Team Scored!
18,18,Blue Team Scored!
19,19,Blue Team Scored!
20,20,Blue Team Scored!
21,21,Purple Team Scored!
22,22,Blue Team Scored!
23,23,Blue Team Scored!
24,24,Purple Team Scored!
25,25,Blue Team Scored!
26,26,Blue Team Scored!
27,27,Blue Team Scored!
28,28,Blue Team Scored!
29,29,Purple Team Scored!
30,30,Purple Team Scored!
31,31,Purple Team Scored!
32,32,Purple Team Scored!
33,33,Blue Team Scored!
34,34,Purple Team Scored!
35,35,Blue Team Scored!
36,36,Purple Team Scored!
37,37,Blue Team Scored!
38,38,Blue Team Scored!
39,39,Blue Team Scored!
40,40,Purple Team Scored!
41,41,Blue Team Scored!
42,42,Blue Team Scored!
43,43,Purple Team Scored!
44,44,Purple Team Scored!
45,45,Purple Team Scored!
46,46,Blue Team Scored!
47,47,Blue Team Scored!
48,48,Purple Team Scored!
49,49,Blue Team Scored!
50,50,Blue Team Scored!
51,51,Purple Team Scored!
52,52,Purple Team Scored!
53,53,Purple Team Scored!
54,54,Purple Team Scored!
55,55,Blue Team Scored!
56,56,Blue Team Scored!
57,57,Purple Team Scored!
58,58,Purple Team Scored!
59,59,Purple Team Scored!
60,60,Purple Team Scored!
61,61,Blue Team Scored!
62,62,Blue Team Scored!
63,63,Purple Team Scored!
64,64,Blue Team Scored!
65,65,Blue Team Scored!
66,66,Blue Team Scored!
67,67,Purple Team Scored!
68,68,Blue Team Scored!
69,69,Purple Team Scored!
70,70,Purple Team Scored!
71,71,Blue Team Scored!
