,episode,score
0,0,Purple Team Scored!
1,1,Purple Team Scored!
2,2,Blue Team Scored!
3,3,Purple Team Scored!
4,4,Purple Team Scored!
5,5,Blue Team Scored!
6,6,Purple Team Scored!
7,7,Purple Team Scored!
8,8,Blue Team Scored!
9,9,Blue Team Scored!
10,10,Purple Team Scored!
11,11,Purple Team Scored!
12,12,Blue Team Scored!
13,13,Purple Team Scored!
14,14,Blue Team Scored!
15,15,Purple Team Scored!
16,16,Blue Team Scored!
17,17,Blue Team Scored!
18,18,Purple Team Scored!
19,19,Blue Team Scored!
20,20,Purple Team Scored!
21,21,Purple Team Scored!
22,22,Purple Team Scored!
23,23,Blue Team Scored!
24,24,Blue Team Scored!
25,25,Blue Team Scored!
26,26,Purple Team Scored!
27,27,Purple Team Scored!
28,28,Blue Team Scored!
29,29,Purple Team Scored!
30,30,Purple Team Scored!
31,31,Purple Team Scored!
32,32,Blue Team Scored!
33,33,Blue Team Scored!
34,34,Blue Team Scored!
35,35,Purple Team Scored!
36,36,Blue Team Scored!
37,37,Blue Team Scored!
38,38,Blue Team Scored!
39,39,Purple Team Scored!
40,40,Blue Team Scored!
41,41,Blue Team Scored!
42,42,Blue Team Scored!
43,43,Blue Team Scored!
44,44,Purple Team Scored!
45,45,Purple Team Scored!
46,46,Purple Team Scored!
47,47,Purple Team Scored!
48,48,Purple Team Scored!
49,49,Purple Team Scored!
50,50,Purple Team Scored!
51,51,Purple Team Scored!
52,52,Purple Team Scored!
53,53,Purple Team Scored!
54,54,Purple Team Scored!
55,55,Purple Team Scored!
56,56,Blue Team Scored!
57,57,Purple Team Scored!
58,58,Blue Team Scored!
59,59,Purple Team Scored!
60,60,Purple Team Scored!
61,61,Blue Team Scored!
62,62,Purple Team Scored!
63,63,Purple Team Scored!
64,64,Blue Team Scored!
65,65,Blue Team Scored!
66,66,Blue Team Scored!
67,67,Purple Team Scored!
68,68,Purple Team Scored!
69,69,Purple Team Scored!
70,70,Purple Team Scored!
71,71,Purple Team Scored!
72,72,Purple Team Scored!
73,73,Blue Team Scored!
74,74,Purple Team Scored!
75,75,Blue Team Scored!
76,76,Purple Team Scored!
77,77,Purple Team Scored!
78,78,Purple Team Scored!
79,79,Purple Team Scored!
80,80,Blue Team Scored!
81,81,Blue Team Scored!
82,82,Blue Team Scored!
83,83,Purple Team Scored!
84,84,Blue Team Scored!
85,85,Purple Team Scored!
86,86,Purple Team Scored!
87,87,Purple Team Scored!
88,88,Purple Team Scored!
89,89,Blue Team Scored!
90,90,Purple Team Scored!
91,91,Blue Team Scored!
92,92,Purple Team Scored!
93,93,Purple Team Scored!
94,94,Purple Team Scored!
95,95,Purple Team Scored!
96,96,Purple Team Scored!
97,97,Purple Team Scored!
98,98,Purple Team Scored!
99,99,Purple Team Scored!
100,100,Purple Team Scored!
101,101,Purple Team Scored!
102,102,Blue Team Scored!
103,103,Purple Team Scored!
104,104,Purple Team Scored!
105,105,Purple Team Scored!
106,106,Purple Team Scored!
107,107,Blue Team Scored!
108,108,Blue Team Scored!
109,109,Purple Team Scored!
110,110,Purple Team Scored!
111,111,Purple Team Scored!
112,112,Blue Team Scored!
113,113,Purple Team Scored!
114,114,Blue Team Scored!
115,115,Purple Team Scored!
116,116,Blue Team Scored!
117,117,Purple Team Scored!
118,118,Blue Team Scored!
119,119,Blue Team Scored!
120,120,Blue Team Scored!
121,121,Blue Team Scored!
122,122,Blue Team Scored!
123,123,Purple Team Scored!
124,124,Blue Team Scored!
125,125,Purple Team Scored!
126,126,Purple Team Scored!
127,127,Purple Team Scored!
128,128,Blue Team Scored!
129,129,Purple Team Scored!
130,130,Blue Team Scored!
131,131,Purple Team Scored!
132,132,Purple Team Scored!
133,133,Purple Team Scored!
134,134,Purple Team Scored!
135,135,Purple Team Scored!
136,136,Blue Team Scored!
137,137,Blue Team Scored!
138,138,Blue Team Scored!
139,139,Purple Team Scored!
140,140,Purple Team Scored!
141,141,Blue Team Scored!
142,142,Blue Team Scored!
143,143,Blue Team Scored!
144,144,Blue Team Scored!
145,145,Purple Team Scored!
146,146,Blue Team Scored!
147,147,Purple Team Scored!
148,148,Blue Team Scored!
149,149,Purple Team Scored!
150,150,Purple Team Scored!
151,151,Blue Team Scored!
152,152,Purple Team Scored!
153,153,Purple Team Scored!
154,154,Blue Team Scored!
155,155,Purple Team Scored!
156,156,Blue Team Scored!
157,157,Purple Team Scored!
158,158,Blue Team Scored!
159,159,Purple Team Scored!
160,160,Purple Team Scored!
161,161,Blue Team Scored!
162,162,Blue Team Scored!
163,163,Purple Team Scored!
164,164,Blue Team Scored!
165,165,Purple Team Scored!
166,166,Purple Team Scored!
167,167,Purple Team Scored!
168,168,Purple Team Scored!
169,169,Blue Team Scored!
170,170,Purple Team Scored!
171,171,Blue Team Scored!
172,172,Blue Team Scored!
173,173,Blue Team Scored!
174,174,Blue Team Scored!
175,175,Purple Team Scored!
176,176,Blue Team Scored!
177,177,Purple Team Scored!
178,178,Blue Team Scored!
179,179,Blue Team Scored!
180,180,Blue Team Scored!
181,181,Purple Team Scored!
182,182,Blue Team Scored!
183,183,Purple Team Scored!
184,184,Blue Team Scored!
185,185,Purple Team Scored!
186,186,Blue Team Scored!
187,187,Purple Team Scored!
188,188,Purple Team Scored!
189,189,Blue Team Scored!
190,190,Purple Team Scored!
191,191,Purple Team Scored!
192,192,Purple Team Scored!
193,193,Blue Team Scored!
194,194,Purple Team Scored!
195,195,Blue Team Scored!
196,196,Purple Team Scored!
197,197,Purple Team Scored!
198,198,Blue Team Scored!
199,199,Purple Team Scored!
200,200,Purple Team Scored!
201,201,Purple Team Scored!
202,202,Purple Team Scored!
203,203,Purple Team Scored!
204,204,Purple Team Scored!
205,205,Purple Team Scored!
206,206,Purple Team Scored!
207,207,Purple Team Scored!
208,208,Purple Team Scored!
209,209,Blue Team Scored!
210,210,Purple Team Scored!
