Wall time,Step,Value
1658703949.0803952,40000,1199.46044921875
1658703984.6540358,50000,1200.2752685546875
1658704274.7609816,120000,1194.20654296875
1658704696.2762816,220000,1194.0819091796875
1658704829.0111794,250000,1194.0819091796875
1658705028.1705902,300000,1197.0660400390625
1658705210.181046,340000,1197.699951171875
1658705240.0288253,350000,1199.45849609375
1658705316.6523397,370000,1199.8023681640625
1658705371.023856,380000,1199.0423583984375
1658705582.9172769,430000,1201.0081787109375
1658705618.386248,440000,1201.0081787109375
1658706402.1500523,620000,1198.9522705078125
1658706574.4381573,660000,1195.9833984375
1658706930.7085674,750000,1194.7867431640625
1658706970.935636,760000,1194.0487060546875
1658707024.416925,770000,1194.0487060546875
1658707111.7092974,790000,1192.1944580078125
1658707253.280741,820000,1196.10791015625
1658707507.8328204,880000,1195.7374267578125
1658707624.5477846,910000,1194.1329345703125
1658707663.6704183,920000,1193.7635498046875
1658707832.5428498,960000,1193.1484375
1658707864.4343433,970000,1193.904052734375
1658708064.4314044,1010000,1192.792236328125
1658708102.1894155,1020000,1191.439697265625
1658708146.728527,1030000,1191.193115234375
1658708172.232789,1040000,1191.96337890625
1658708253.0178065,1060000,1192.970947265625
1658708309.3930557,1070000,1192.46923828125
1658708690.6218166,1160000,1193.006103515625
1658708832.4854724,1200000,1192.2540283203125
1658709397.4110968,1340000,1189.509033203125
1658710152.7271273,1530000,1188.270263671875
1658710525.4481575,1620000,1189.28564453125
1658711007.5903132,1740000,1188.5169677734375
1658711270.1097677,1810000,1187.5379638671875
1658711570.1578152,1880000,1185.30859375
1658711678.6668673,1910000,1185.30859375
1658712334.561762,2070000,1185.56640625
1658712807.8079426,2190000,1187.19580078125
1658713156.8210118,2270000,1189.3109130859375
1658713625.5560167,2390000,1188.3038330078125
1658713663.3075156,2400000,1188.3038330078125
1658714168.0137286,2520000,1187.3052978515625
1658714355.8862803,2570000,1186.3067626953125
1658714984.4340777,2720000,1187.811279296875
1658715059.9089124,2740000,1188.0645751953125
1658715594.1557105,2870000,1188.4344482421875
1658715697.4025233,2900000,1187.8997802734375
1658715749.4344847,2910000,1188.6917724609375
1658715850.8340726,2940000,1189.3138427734375
1658716196.6526816,3020000,1190.968505859375
1658716312.0579083,3050000,1189.681640625
1658716402.585418,3070000,1193.8360595703125
1658716475.64836,3090000,1194.2059326171875
1658717097.2463493,3240000,1191.1680908203125
1658717170.8569827,3260000,1191.1680908203125
1658717248.5629797,3280000,1191.1680908203125
1658717594.0824368,3370000,1189.543212890625
1658717874.1984289,3440000,1187.2657470703125
1658718005.7752855,3470000,1186.19921875
1658718048.2311616,3480000,1185.3380126953125
1658718126.8898942,3500000,1184.7344970703125
1658718370.0996861,3560000,1183.5247802734375
1658718388.6955705,3570000,1184.55517578125
1658718469.969664,3590000,1186.5902099609375
1658718812.469419,3670000,1189.238525390625
1658718915.480164,3700000,1183.4482421875
1658718962.208127,3710000,1183.9505615234375
1658718997.5394955,3720000,1185.2509765625
1658719038.9047866,3730000,1185.7567138671875
1658719122.4626076,3750000,1187.892333984375
1658719270.797794,3790000,1184.0142822265625
1658719352.6383164,3810000,1185.3480224609375
1658719449.1723843,3830000,1186.5538330078125
1658719593.9629588,3870000,1196.943603515625
1658719642.9039943,3880000,1196.9278564453125
1658719688.2233613,3890000,1199.539794921875
1658719816.0320013,3920000,1202.28271484375
1658719990.4202967,3970000,1197.6107177734375
1658720414.6154816,4070000,1209.2330322265625
1658720491.0572073,4090000,1215.4541015625
1658720614.8742707,4120000,1221.8782958984375
1658720636.7544863,4130000,1224.5546875
1658720684.456922,4140000,1223.8173828125
1658720997.9226387,4220000,1234.5186767578125
1658721166.8504684,4260000,1262.3511962890625
1658721202.1379964,4270000,1266.2723388671875
1658721241.758402,4280000,1272.75048828125
1658721676.4461393,4390000,1325.5947265625
1658721804.1431754,4420000,1319.193115234375
1658721882.851748,4440000,1310.2152099609375
1658721957.8514652,4460000,1320.8587646484375
1658722038.132721,4480000,1317.8314208984375
1658722122.385886,4500000,1325.146484375
1658722244.4473479,4530000,1342.690185546875
1658722360.6378322,4560000,1351.6669921875
1658722436.3071966,4580000,1368.45458984375
1658722645.8255355,4630000,1390.2947998046875
1658722720.1023045,4650000,1397.096923828125
1658722762.2810345,4660000,1396.949462890625
1658723083.8592288,4740000,1390.958740234375
1658723164.7264526,4760000,1395.8779296875
1658723327.627867,4800000,1384.4713134765625
1658723494.8219943,4840000,1393.394775390625
1658723573.9547148,4860000,1396.0706787109375
1658723611.3670387,4870000,1397.46728515625
1658723739.2195213,4900000,1393.789306640625
1658724350.5918279,5050000,1415.94189453125
1658724390.7315345,5060000,1414.8583984375
1658724593.9636462,5110000,1408.6829833984375
1658724675.1306534,5130000,1428.449462890625
1658724713.1717029,5140000,1431.3990478515625
1658724957.8865623,5200000,1424.8597412109375
1658725039.2601912,5220000,1439.0809326171875
1658725204.6699648,5260000,1451.6434326171875
1658725367.5927913,5300000,1458.453369140625
1658725414.3272083,5310000,1447.1943359375
1658725450.1544871,5320000,1448.795654296875
1658725487.9427052,5330000,1448.6829833984375
1658725534.9878218,5340000,1435.2044677734375
1658725572.688485,5350000,1432.513671875
1658726029.5330086,5460000,1447.6329345703125
1658726356.5304701,5540000,1465.4918212890625
1658726519.9670975,5580000,1470.322509765625
1658726603.0430648,5600000,1477.3365478515625
1658726683.5482259,5620000,1485.69873046875
1658726811.099552,5650000,1469.5450439453125
1658727011.8562515,5700000,1463.1109619140625
1658727093.2406626,5720000,1464.4415283203125
1658727303.7608109,5770000,1440.3055419921875
1658727470.6123698,5810000,1443.80419921875
1658727508.3227286,5820000,1437.8199462890625
1658727553.1153896,5830000,1447.360107421875
1658727674.4530797,5860000,1453.87890625
1658727799.150424,5890000,1462.1817626953125
1658727836.7529917,5900000,1463.0782470703125
1658727962.9595249,5930000,1469.4608154296875
1658728002.638711,5940000,1469.8052978515625
1658728166.142428,5980000,1473.7264404296875
1658728377.5593884,6030000,1496.11962890625
1658728413.5096326,6040000,1495.073974609375
1658728457.2908072,6050000,1495.19482421875
1658728534.4129775,6070000,1497.442626953125
1658728616.8274834,6090000,1483.5863037109375
1658728697.9435587,6110000,1486.7967529296875
1658728742.6003327,6120000,1484.901611328125
1658728823.942729,6140000,1485.0438232421875
